"","atlas","id","name","abbr","neocortex","temporal_cortex","motor_cortex","frontal_cortex","claustrum","globus_pallidus","cingulate_cortex","auditory_cortex","insula","medial_prefrontal_cortex","striatum","orbitofrontal_cortex","agranular_insular_cortex","substantia_nigra","parietal_cortex","visual_cortex","piriform_cortex","prefrontal_cortex","rhinal_cortex","hippocampus","hypothalamus","somatosensory_cortex","retrosplenial_cortex","white_matter","side","name_bilateral","abbr_bilateral"
"514","paxinos",371,"interpeduncular nucleus, caudal subnucleus","IPC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interpeduncular nucleus, caudal subnucleus","ri_IPC"
"515","paxinos",372,"interpeduncular nucleus, dorsolateral subnucleus","IPDL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interpeduncular nucleus, dorsolateral subnucleus","ri_IPDL"
"516","paxinos",373,"interpeduncular nucleus, dorsomedial subnucleus","IPDM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interpeduncular nucleus, dorsomedial subnucleus","ri_IPDM"
"511","paxinos",374,"interpeduncular fossa","IPF","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interpeduncular fossa","ri_IPF"
"517","paxinos",375,"interpeduncular nucleus, intermediate subnucleus","IPI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interpeduncular nucleus, intermediate subnucleus","ri_IPI"
"518","paxinos",376,"interpeduncular nucleus, lateral subnucleus","IPL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interpeduncular nucleus, lateral subnucleus","ri_IPL"
"519","paxinos",377,"interpeduncular nucleus, rostral subnucleus","IPR","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interpeduncular nucleus, rostral subnucleus","ri_IPR"
"510","paxinos",378,"internal plexiform layer of the olfactory bulb","IPl","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_internal plexiform layer of the olfactory bulb","ri_IPl"
"500","paxinos",379,"intermediate reticular nucleus","IRt","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_intermediate reticular nucleus","ri_IRt"
"501","paxinos",380,"intermediate reticular nucleus, alpha part","IRtA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_intermediate reticular nucleus, alpha part","ri_IRtA"
"482","paxinos",381,"inferior salivatory nucleus","IS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_inferior salivatory nucleus","ri_IS"
"533","paxinos",382,"interventricular foramen","IVF","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interventricular foramen","ri_IVF"
"492","paxinos",383,"intercalated nucleus of the medulla","In","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_intercalated nucleus of the medulla","ri_In"
"526","paxinos",384,"interstitial nucleus of Cajal","InC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interstitial nucleus of Cajal","ri_InC"
"527","paxinos",386,"interstitial nucleus of Cajal. shell region","InCSh","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interstitial nucleus of Cajal. shell region","ri_InCSh"
"497","paxinos",388,"intermediate gray layer of the superior colliculus","InG","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_intermediate gray layer of the superior colliculus","ri_InG"
"505","paxinos",389,"intermedius nucleus of the medulla","InM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_intermedius nucleus of the medulla","ri_InM"
"502","paxinos",390,"intermediate white layer of the superior colliculus","InWh","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_intermediate white layer of the superior colliculus","ri_InWh"
"487","paxinos",391,"infundibulum",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_infundibulum","ri_NA"
"486","paxinos",392,"infundibular stem","InfS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_infundibular stem","ri_InfS"
"520","paxinos",393,"interposed cerebellar nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interposed cerebellar nucleus","ri_NA"
"521","paxinos",394,"interposed cerebellar nucleus, anterior part","IntA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interposed cerebellar nucleus, anterior part","ri_IntA"
"522","paxinos",395,"interposed cerebellar nucleus, dorsolateral hump","IntDL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interposed cerebellar nucleus, dorsolateral hump","ri_IntDL"
"523","paxinos",396,"interposed cerebellar nucleus, dorsomedial crest","IntDM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interposed cerebellar nucleus, dorsomedial crest","ri_IntDM"
"524","paxinos",397,"interposed cerebellar nucleus, posterior part","IntP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interposed cerebellar nucleus, posterior part","ri_IntP"
"525","paxinos",398,"interposed cerebellar nucleus, posterior parvicellular part","IntPPC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_interposed cerebellar nucleus, posterior parvicellular part","ri_IntPPC"
"535","paxinos",399,"intralaminar thalamic nuclei",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_intralaminar thalamic nuclei","ri_NA"
"539","paxinos",400,"isocortex",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_isocortex","ri_NA"
"541","paxinos",401,"juxtaparaventricular part of lateral hypothalamus","JPLH","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_juxtaparaventricular part of lateral hypothalamus","ri_JPLH"
"540","paxinos",402,"juxtaolivary nucleus","JxO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_juxtaolivary nucleus","ri_JxO"
"542","paxinos",403,"Kolliker-Fuse nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_Kolliker-Fuse nucleus","ri_NA"
"590","paxinos",405,"lateroanterior hypothalamic nucleus","LA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_lateroanterior hypothalamic nucleus","ri_LA"
"546","paxinos",406,"lateral accumbens shell","LAcbSh","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral accumbens shell","ri_LAcbSh"
"602","paxinos",407,"locus coeruleus","LC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_locus coeruleus","ri_LC"
"593","paxinos",408,"laterodorsal thalamic nucleus","LD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_laterodorsal thalamic nucleus","ri_LD"
"594","paxinos",409,"laterodorsal thalamic nucleus, dorsomedial part","LDDM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_laterodorsal thalamic nucleus, dorsomedial part","ri_LDDM"
"591","paxinos",410,"laterodorsal tegmental nucleus","LDTg","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_laterodorsal tegmental nucleus","ri_LDTg"
"592","paxinos",411,"laterodorsal tegmental nucleus, ventral part","LDTgV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_laterodorsal tegmental nucleus, ventral part","ri_LDTgV"
"595","paxinos",412,"laterodorsal thalamic nucleus, ventrolateral part","LDVL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_laterodorsal thalamic nucleus, ventrolateral part","ri_LDVL"
"552","paxinos",413,"lateral hypothalamic area",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral hypothalamic area","ri_NA"
"554","paxinos",414,"lateral mammillary nucleus","LM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral mammillary nucleus","ri_LM"
"543","paxinos",415,"lacunosum moleculare layer of the hippocampus","LMol","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","right","ri_lacunosum moleculare layer of the hippocampus","ri_LMol"
"556","paxinos",416,"lateral orbital cortex","LO","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","right","ri_lateral orbital cortex","ri_LO"
"709","paxinos",417,"nucleus of the lateral olfactory tract","LOT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_nucleus of the lateral olfactory tract","ri_LOT"
"710","paxinos",421,"nucleus of the lateral olfactory tract, layer 1","LOT1","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_nucleus of the lateral olfactory tract, layer 1","ri_LOT1"
"571","paxinos",422,"lateral posterior thalamic nucleus","LP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral posterior thalamic nucleus","ri_LP"
"570","paxinos",423,"lateral periaqueductal gray","LPAG","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral periaqueductal gray","ri_LPAG"
"558","paxinos",424,"lateral parabrachial nucleus","LPB","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral parabrachial nucleus","ri_LPB"
"559","paxinos",425,"lateral parabrachial nucleus, central part","LPBC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral parabrachial nucleus, central part","ri_LPBC"
"560","paxinos",426,"lateral parabrachial nucleus, crescent part","LPBCr","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral parabrachial nucleus, crescent part","ri_LPBCr"
"561","paxinos",427,"lateral parabrachial nucleus, dorsal part","LPBD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral parabrachial nucleus, dorsal part","ri_LPBD"
"562","paxinos",428,"lateral parabrachial nucleus, external part","LPBE","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral parabrachial nucleus, external part","ri_LPBE"
"563","paxinos",429,"lateral parabrachial nucleus, internal part","LPBI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral parabrachial nucleus, internal part","ri_LPBI"
"564","paxinos",430,"lateral parabrachial nucleus, superior part","LPBS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral parabrachial nucleus, superior part","ri_LPBS"
"565","paxinos",431,"lateral parabrachial nucleus, ventral part","LPBV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral parabrachial nucleus, ventral part","ri_LPBV"
"566","paxinos",432,"lateral paragigantocellular nucleus","LPGi","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral paragigantocellular nucleus","ri_LPGi"
"567","paxinos",433,"lateral paragigantocellular nucleus, alpha part","LPGiA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral paragigantocellular nucleus, alpha part","ri_LPGiA"
"568","paxinos",434,"lateral paragigantocellular nucleus, external part","LPGiE","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral paragigantocellular nucleus, external part","ri_LPGiE"
"572","paxinos",435,"lateral posterior thalamic nucleus, laterocaudal part","LPLC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral posterior thalamic nucleus, laterocaudal part","ri_LPLC"
"573","paxinos",436,"lateral posterior thalamic nucleus, laterorostral part","LPLR","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral posterior thalamic nucleus, laterorostral part","ri_LPLR"
"574","paxinos",437,"lateral posterior thalamic nucleus, mediocaudal part","LPMC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral posterior thalamic nucleus, mediocaudal part","ri_LPMC"
"575","paxinos",438,"lateral posterior thalamic nucleus, mediorostral part","LPMR","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral posterior thalamic nucleus, mediorostral part","ri_LPMR"
"576","paxinos",439,"lateral preoptic area","LPO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral preoptic area","ri_LPO"
"569","paxinos",440,"lateral parietal association cortex","LPtA","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","right","ri_lateral parietal association cortex","ri_LPtA"
"577","paxinos",441,"lateral recess of the 4th ventricle","LR4V","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral recess of the 4th ventricle","ri_LR4V"
"578","paxinos",442,"lateral reticular nucleus","LRt","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral reticular nucleus","ri_LRt"
"579","paxinos",443,"lateral reticular nucleus, parvicellular part","LRtPC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral reticular nucleus, parvicellular part","ri_LRtPC"
"580","paxinos",444,"lateral reticular nucleus, subtrigeminal part","LRtS5","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral reticular nucleus, subtrigeminal part","ri_LRtS5"
"581","paxinos",445,"lateral septal nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral septal nucleus","ri_NA"
"582","paxinos",446,"lateral septal nucleus, dorsal part","LSD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral septal nucleus, dorsal part","ri_LSD"
"583","paxinos",447,"lateral septal nucleus, intermediate part","LSI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral septal nucleus, intermediate part","ri_LSI"
"586","paxinos",452,"lateral superior olive","LSO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral superior olive","ri_LSO"
"585","paxinos",453,"lateral stripe of the striatum","LSS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral stripe of the striatum","ri_LSS"
"584","paxinos",454,"lateral septal nucleus, ventral part","LSV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral septal nucleus, ventral part","ri_LSV"
"587","paxinos",455,"lateral terminal nucleus of the accessory optic tract","LT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral terminal nucleus of the accessory optic tract","ri_LT"
"588","paxinos",457,"lateral ventricle","LV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral ventricle","ri_LV"
"596","paxinos",458,"lateroventral periolivary nucleus","LVPO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateroventral periolivary nucleus","ri_LVPO"
"589","paxinos",459,"lateral vestibular nucleus","LVe","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral vestibular nucleus","ri_LVe"
"545","paxinos",461,"lat amygdaloid nucleus","La","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lat amygdaloid nucleus","ri_La"
"547","paxinos",462,"lateral amygdaloid nucleus, dorsolateral part","LaDL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral amygdaloid nucleus, dorsolateral part","ri_LaDL"
"548","paxinos",463,"lateral amygdaloid nucleus, ventrolateral part","LaVL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral amygdaloid nucleus, ventrolateral part","ri_LaVL"
"549","paxinos",464,"lateral amygdaloid nucleus, ventromedial part","LaVM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral amygdaloid nucleus, ventromedial part","ri_LaVM"
"551","paxinos",465,"lateral (dentate) cerebellar nucleus","Lat","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral (dentate) cerebellar nucleus","ri_Lat"
"550","paxinos",466,"lateral cerebellar nucleus, parvicellular part","LatPC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lateral cerebellar nucleus, parvicellular part","ri_LatPC"
"544","paxinos",467,"lambdoid septal zone","Ld","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lambdoid septal zone","ri_Ld"
"599","paxinos",468,"linear nucleus of the medulla","Li","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_linear nucleus of the medulla","ri_Li"
"601","paxinos",469,"lithoid nucleus","Lth","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_lithoid nucleus","ri_Lth"
"854","paxinos",470,"primary motor cortex","M1","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_primary motor cortex","ri_M1"
"924","paxinos",471,"secondary motor cortex","M2","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_secondary motor cortex","ri_M2"
"616","paxinos",472,"medial accessory oculomotor nucleus","MA3","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial accessory oculomotor nucleus","ri_MA3"
"678","paxinos",473,"midbrain",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_midbrain","ri_NA"
"604","paxinos",474,"magnocellular nucleus of the lateral hypothalamus","MCLH","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_magnocellular nucleus of the lateral hypothalamus","ri_MCLH"
"605","paxinos",475,"magnocellular nucleus of the posterior commissure","MCPC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_magnocellular nucleus of the posterior commissure","ri_MCPC"
"606","paxinos",476,"magnocellular preoptic nucleus","MCPO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_magnocellular preoptic nucleus","ri_MCPO"
"667","paxinos",477,"mediodorsal thalamic nucleus","MD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_mediodorsal thalamic nucleus","ri_MD"
"668","paxinos",478,"mediodorsal thalamic nucleus, central part","MDC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_mediodorsal thalamic nucleus, central part","ri_MDC"
"669","paxinos",479,"mediodorsal thalamic nucleus, lateral part","MDL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_mediodorsal thalamic nucleus, lateral part","ri_MDL"
"670","paxinos",480,"mediodorsal thalamic nucleus, medial part","MDM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_mediodorsal thalamic nucleus, medial part","ri_MDM"
"664","paxinos",481,"median eminence","ME","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_median eminence","ri_ME"
"626","paxinos",482,"medial eminence, external layer","MEE","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial eminence, external layer","ri_MEE"
"627","paxinos",483,"medial eminence, internal layer","MEI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial eminence, internal layer","ri_MEI"
"628","paxinos",484,"medial entorhinal cortex","MEnt","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","right","ri_medial entorhinal cortex","ri_MEnt"
"633","paxinos",486,"medial geniculate nucleus","MG","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial geniculate nucleus","ri_MG"
"634","paxinos",487,"medial geniculate nucleus, dorsal part","MGD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial geniculate nucleus, dorsal part","ri_MGD"
"635","paxinos",488,"medial geniculate nucleus, medial part","MGM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial geniculate nucleus, medial part","ri_MGM"
"636","paxinos",489,"medial geniculate nucleus, ventral part","MGV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial geniculate nucleus, ventral part","ri_MGV"
"640","paxinos",490,"medial mammillary nucleus, lateral part","ML","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial mammillary nucleus, lateral part","ri_ML"
"641","paxinos",491,"medial mammillary nucleus, medial part","MM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial mammillary nucleus, medial part","ri_MM"
"643","paxinos",492,"medial orbital cortex","MO","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","right","ri_medial orbital cortex","ri_MO"
"607","paxinos",493,"main olfactory bulb",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_main olfactory bulb","ri_NA"
"649","paxinos",494,"medial preoptic area","MPA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial preoptic area","ri_MPA"
"645","paxinos",495,"medial parabrachial nucleus","MPB","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial parabrachial nucleus","ri_MPB"
"646","paxinos",496,"medial parabrachial nucleus external part","MPBE","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial parabrachial nucleus external part","ri_MPBE"
"647","paxinos",497,"medial paralemniscial nucleus","MPL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial paralemniscial nucleus","ri_MPL"
"650","paxinos",498,"medial preoptic nucleus","MPO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial preoptic nucleus","ri_MPO"
"651","paxinos",499,"medial preoptic nucleus, central part","MPOC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial preoptic nucleus, central part","ri_MPOC"
"652","paxinos",500,"medial preoptic nucleus, lateral part","MPOL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial preoptic nucleus, lateral part","ri_MPOL"
"653","paxinos",501,"medial preoptic nucleus, medial part","MPOM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial preoptic nucleus, medial part","ri_MPOM"
"654","paxinos",502,"medial pretectal nucleus","MPT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial pretectal nucleus","ri_MPT"
"648","paxinos",504,"medial parietal association cortex","MPtA","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","right","ri_medial parietal association cortex","ri_MPtA"
"609","paxinos",506,"mammillary recess of the 3rd ventricle","MRe","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_mammillary recess of the 3rd ventricle","ri_MRe"
"655","paxinos",507,"medial septal nucleus","MS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial septal nucleus","ri_MS"
"656","paxinos",508,"medial superior olive","MSO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial superior olive","ri_MSO"
"657","paxinos",509,"medial terminal nucleus of the accessory optic tract","MT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial terminal nucleus of the accessory optic tract","ri_MT"
"658","paxinos",510,"medial tuberal nucleus","MTu","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial tuberal nucleus","ri_MTu"
"660","paxinos",511,"medial vestibular nucleus","MVe","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial vestibular nucleus","ri_MVe"
"671","paxinos",512,"medioventral periolivary nucleus","MVPO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medioventral periolivary nucleus","ri_MVPO"
"659","paxinos",513,"medial vestibular nucleus","MVe","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial vestibular nucleus","ri_MVe"
"661","paxinos",514,"medial vestibular nucleus, magnocellular part","MVeMC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_medial vestibular nucleus, magnocellular part","ri_MVeMC"
